model,task,cv_type,eval_set,sensor_config,num_seconds,fold,doctor_trials,f1,precision,recall,accuracy,Lump_f1,Lump_precision,Lump_recall,Lump_acc,Size_f1,Size_precision,Size_recall,Size_acc,Position_f1,Position_precision,Position_recall,Position_acc,combined_f1,combined_precision,combined_recall,combined_accuracy
inceptiontime,lump_binary,group,val,all,7,0,0,0.7255892255892256,0.704248366013072,0.7482638888888888,0.7170138888888888,,,,,,,,,,,,,0.7255892255892256,0.704248366013072,0.7482638888888888,0.7170138888888888
inceptiontime,lump_binary,group,val,all,7,0,1,0.773071104387292,0.6849865951742627,0.8871527777777778,0.7395833333333334,,,,,,,,,,,,,0.773071104387292,0.6849865951742627,0.8871527777777778,0.7395833333333334
inceptiontime,lump_binary,group,val,all,7,0,2,0.7280334728033473,0.7410562180579217,0.7154605263157895,0.7344771241830066,,,,,,,,,,,,,0.7280334728033473,0.7410562180579217,0.7154605263157895,0.7344771241830066
inceptiontime,lump_binary,group,val,all,7,0,3,0.8017492711370262,0.6909547738693468,0.9548611111111112,0.7638888888888888,,,,,,,,,,,,,0.8017492711370262,0.6909547738693468,0.9548611111111112,0.7638888888888888
inceptiontime,lump_binary,group,val,all,7,0,4,0.797003745318352,0.7009222661396575,0.9236111111111112,0.7647569444444444,,,,,,,,,,,,,0.797003745318352,0.7009222661396575,0.9236111111111112,0.7647569444444444
inceptiontime,lump_binary,group,val,all,7,0,5,0.7266081871345029,0.6980337078651685,0.7576219512195121,0.7149390243902439,,,,,,,,,,,,,0.7266081871345029,0.6980337078651685,0.7576219512195121,0.7149390243902439
inceptiontime,lump_binary,group,val,all,7,0,6,0.7724335965541995,0.6585067319461444,0.9340277777777778,0.7248263888888888,,,,,,,,,,,,,0.7724335965541995,0.6585067319461444,0.9340277777777778,0.7248263888888888
inceptiontime,lump_binary,group,val,all,7,0,7,0.792156862745098,0.7224606580829757,0.8767361111111112,0.7699652777777778,,,,,,,,,,,,,0.792156862745098,0.7224606580829757,0.8767361111111112,0.7699652777777778
inceptiontime,lump_binary,group,val,all,7,0,8,0.7660187185025198,0.6543665436654367,0.9236111111111112,0.7178819444444444,,,,,,,,,,,,,0.7660187185025198,0.6543665436654367,0.9236111111111112,0.7178819444444444
inceptiontime,lump_binary,group,val,all,7,0,9,0.7548209366391184,0.6255707762557078,0.9513888888888888,0.6909722222222222,,,,,,,,,,,,,0.7548209366391184,0.6255707762557078,0.9513888888888888,0.6909722222222222
inceptiontime,lump_binary,group,val,all,7,0,10,0.7319655857048313,0.6991150442477876,0.7680555555555556,0.709051724137931,,,,,,,,,,,,,0.7319655857048313,0.6991150442477876,0.7680555555555556,0.709051724137931
inceptiontime,lump_binary,group,val,all,7,0,11,0.7671620665251239,0.6475507765830346,0.9409722222222222,0.7144097222222222,,,,,,,,,,,,,0.7671620665251239,0.6475507765830346,0.9409722222222222,0.7144097222222222
inceptiontime,lump_binary,group,val,all,7,0,12,0.6963562753036437,0.5966303270564915,0.8361111111111111,0.6313202247191011,,,,,,,,,,,,,0.6963562753036437,0.5966303270564915,0.8361111111111111,0.6313202247191011
inceptiontime,lump_binary,group,val,all,7,0,13,0.7060889929742389,0.6103238866396761,0.8375,0.6513888888888889,,,,,,,,,,,,,0.7060889929742389,0.6103238866396761,0.8375,0.6513888888888889
inceptiontime,lump_binary,group,val,all,7,0,14,0.7089688834655278,0.6322089227421109,0.8069444444444445,0.66875,,,,,,,,,,,,,0.7089688834655278,0.6322089227421109,0.8069444444444445,0.66875
inceptiontime,lump_binary,group,val,all,7,0,15,0.7288025889967638,0.6824242424242424,0.7819444444444444,0.7090277777777778,,,,,,,,,,,,,0.7288025889967638,0.6824242424242424,0.7819444444444444,0.7090277777777778
inceptiontime,lump_binary,group,val,all,7,1,0,0.7358093903293623,0.6169212690951822,0.9114583333333334,0.6727430555555556,,,,,,,,,,,,,0.7358093903293623,0.6169212690951822,0.9114583333333334,0.6727430555555556
inceptiontime,lump_binary,group,val,all,7,1,1,0.6789250353606789,0.583941605839416,0.8108108108108109,0.6178451178451179,,,,,,,,,,,,,0.6789250353606789,0.583941605839416,0.8108108108108109,0.6178451178451179
inceptiontime,lump_binary,group,val,all,7,1,2,0.746425884123401,0.6586985391766268,0.8611111111111112,0.7074652777777778,,,,,,,,,,,,,0.746425884123401,0.6586985391766268,0.8611111111111112,0.7074652777777778
inceptiontime,lump_binary,group,val,all,7,1,3,0.6473755047106325,0.5580046403712297,0.7708333333333334,0.5841269841269842,,,,,,,,,,,,,0.6473755047106325,0.5580046403712297,0.7708333333333334,0.5841269841269842
inceptiontime,lump_binary,group,val,all,7,1,4,0.6894370651486401,0.5791710945802337,0.8515625,0.621141975308642,,,,,,,,,,,,,0.6894370651486401,0.5791710945802337,0.8515625,0.621141975308642
inceptiontime,lump_binary,group,val,all,7,1,5,0.75,0.6346153846153846,0.9166666666666666,0.6944444444444444,,,,,,,,,,,,,0.75,0.6346153846153846,0.9166666666666666,0.6944444444444444
inceptiontime,lump_binary,group,val,all,7,1,6,0.708507670850767,0.6666666666666666,0.7559523809523809,0.6852409638554217,,,,,,,,,,,,,0.708507670850767,0.6666666666666666,0.7559523809523809,0.6852409638554217
inceptiontime,lump_binary,group,val,all,7,1,7,0.7244444444444444,0.7386706948640483,0.7107558139534884,0.7232142857142857,,,,,,,,,,,,,0.7244444444444444,0.7386706948640483,0.7107558139534884,0.7232142857142857
inceptiontime,lump_binary,group,val,all,7,1,8,0.7665010645848119,0.7659574468085106,0.7670454545454546,0.7580882352941176,,,,,,,,,,,,,0.7665010645848119,0.7659574468085106,0.7670454545454546,0.7580882352941176
inceptiontime,lump_binary,group,val,all,7,1,9,0.736235595390525,0.6828978622327792,0.7986111111111112,0.7005813953488372,,,,,,,,,,,,,0.736235595390525,0.6828978622327792,0.7986111111111112,0.7005813953488372
inceptiontime,lump_binary,group,val,all,7,1,10,0.732289336316182,0.6418300653594772,0.8524305555555556,0.6883680555555556,,,,,,,,,,,,,0.732289336316182,0.6418300653594772,0.8524305555555556,0.6883680555555556
inceptiontime,lump_binary,group,val,all,7,1,11,0.7238754325259515,0.7213793103448276,0.7263888888888889,0.7166193181818182,,,,,,,,,,,,,0.7238754325259515,0.7213793103448276,0.7263888888888889,0.7166193181818182
inceptiontime,lump_binary,group,val,all,7,1,12,0.7722772277227723,0.8018691588785046,0.7447916666666666,0.7803819444444444,,,,,,,,,,,,,0.7722772277227723,0.8018691588785046,0.7447916666666666,0.7803819444444444
inceptiontime,lump_binary,group,val,all,7,1,13,0.7331136738056013,0.6974921630094044,0.7725694444444444,0.71875,,,,,,,,,,,,,0.7331136738056013,0.6974921630094044,0.7725694444444444,0.71875
inceptiontime,lump_binary,group,val,all,7,1,14,0.7554833468724614,0.7099236641221374,0.8072916666666666,0.7387152777777778,,,,,,,,,,,,,0.7554833468724614,0.7099236641221374,0.8072916666666666,0.7387152777777778
inceptiontime,lump_binary,group,val,all,7,1,15,0.7419354838709677,0.6927710843373494,0.7986111111111112,0.7222222222222222,,,,,,,,,,,,,0.7419354838709677,0.6927710843373494,0.7986111111111112,0.7222222222222222
inceptiontime,lump_binary,group,val,all,7,2,0,0.7015057573073517,0.7160940325497287,0.6875,0.7074652777777778,,,,,,,,,,,,,0.7015057573073517,0.7160940325497287,0.6875,0.7074652777777778
inceptiontime,lump_binary,group,val,all,7,2,1,0.6065711878685762,0.5891980360065466,0.625,0.5946180555555556,,,,,,,,,,,,,0.6065711878685762,0.5891980360065466,0.625,0.5946180555555556
inceptiontime,lump_binary,group,val,all,7,2,2,0.7334924423229913,0.6769456681350955,0.8003472222222222,0.7092013888888888,,,,,,,,,,,,,0.7334924423229913,0.6769456681350955,0.8003472222222222,0.7092013888888888
inceptiontime,lump_binary,group,val,all,7,2,3,0.8113035551504102,0.8541266794625719,0.7725694444444444,0.8203125,,,,,,,,,,,,,0.8113035551504102,0.8541266794625719,0.7725694444444444,0.8203125
inceptiontime,lump_binary,group,val,all,7,2,4,0.7419871794871795,0.6889880952380952,0.8038194444444444,0.7204861111111112,,,,,,,,,,,,,0.7419871794871795,0.6889880952380952,0.8038194444444444,0.7204861111111112
inceptiontime,lump_binary,group,val,all,7,2,5,0.6500356379187455,0.5513905683192262,0.7916666666666666,0.5737847222222222,,,,,,,,,,,,,0.6500356379187455,0.5513905683192262,0.7916666666666666,0.5737847222222222
inceptiontime,lump_binary,group,val,all,7,2,6,0.6549249836921069,0.5245559038662487,0.8715277777777778,0.5407986111111112,,,,,,,,,,,,,0.6549249836921069,0.5245559038662487,0.8715277777777778,0.5407986111111112
inceptiontime,lump_binary,group,val,all,7,2,7,0.7486712224753227,0.6653171390013495,0.8559027777777778,0.7126736111111112,,,,,,,,,,,,,0.7486712224753227,0.6653171390013495,0.8559027777777778,0.7126736111111112
inceptiontime,lump_binary,group,val,all,7,2,8,0.7296416938110749,0.6871165644171779,0.7777777777777778,0.7118055555555556,,,,,,,,,,,,,0.7296416938110749,0.6871165644171779,0.7777777777777778,0.7118055555555556
inceptiontime,lump_binary,group,val,all,7,2,9,0.625,0.5625,0.703125,0.578125,,,,,,,,,,,,,0.625,0.5625,0.703125,0.578125
inceptiontime,lump_binary,group,val,all,7,2,10,0.7380777696258254,0.639135959339263,0.8732638888888888,0.6901041666666666,,,,,,,,,,,,,0.7380777696258254,0.639135959339263,0.8732638888888888,0.6901041666666666
inceptiontime,lump_binary,group,val,all,7,2,11,0.7370103916866507,0.682962962962963,0.8003472222222222,0.7144097222222222,,,,,,,,,,,,,0.7370103916866507,0.682962962962963,0.8003472222222222,0.7144097222222222
inceptiontime,lump_binary,group,val,all,7,2,12,0.7382352941176471,0.6403061224489796,0.8715277777777778,0.6909722222222222,,,,,,,,,,,,,0.7382352941176471,0.6403061224489796,0.8715277777777778,0.6909722222222222
inceptiontime,lump_binary,group,val,all,7,2,13,0.7528089887640449,0.6320754716981132,0.9305555555555556,0.6944444444444444,,,,,,,,,,,,,0.7528089887640449,0.6320754716981132,0.9305555555555556,0.6944444444444444
inceptiontime,lump_binary,group,val,all,7,2,14,0.786910197869102,0.7005420054200542,0.8975694444444444,0.7569444444444444,,,,,,,,,,,,,0.786910197869102,0.7005420054200542,0.8975694444444444,0.7569444444444444
inceptiontime,lump_binary,group,val,all,7,2,15,0.7732513451191392,0.6937931034482758,0.8732638888888888,0.7439236111111112,,,,,,,,,,,,,0.7732513451191392,0.6937931034482758,0.8732638888888888,0.7439236111111112
inceptiontime,lump_binary,group,val,all,7,3,0,0.8336079077429983,0.7931034482758621,0.8784722222222222,0.8246527777777778,,,,,,,,,,,,,0.8336079077429983,0.7931034482758621,0.8784722222222222,0.8246527777777778
inceptiontime,lump_binary,group,val,all,7,3,1,0.7988721804511278,0.8709016393442623,0.7378472222222222,0.8142361111111112,,,,,,,,,,,,,0.7988721804511278,0.8709016393442623,0.7378472222222222,0.8142361111111112
inceptiontime,lump_binary,group,val,all,7,3,2,0.7320540156361052,0.6197352587244284,0.8940972222222222,0.6727430555555556,,,,,,,,,,,,,0.7320540156361052,0.6197352587244284,0.8940972222222222,0.6727430555555556
inceptiontime,lump_binary,group,val,all,7,3,3,0.6552315608919382,0.6474576271186441,0.6631944444444444,0.6510416666666666,,,,,,,,,,,,,0.6552315608919382,0.6474576271186441,0.6631944444444444,0.6510416666666666
inceptiontime,lump_binary,group,val,all,7,3,4,0.8145695364238411,0.7784810126582279,0.8541666666666666,0.8055555555555556,,,,,,,,,,,,,0.8145695364238411,0.7784810126582279,0.8541666666666666,0.8055555555555556
inceptiontime,lump_binary,group,val,all,7,3,5,0.7239669421487603,0.6908517350157729,0.7604166666666666,0.7100694444444444,,,,,,,,,,,,,0.7239669421487603,0.6908517350157729,0.7604166666666666,0.7100694444444444
inceptiontime,lump_binary,group,val,all,7,3,6,0.8032345013477089,0.8324022346368715,0.7760416666666666,0.8098958333333334,,,,,,,,,,,,,0.8032345013477089,0.8324022346368715,0.7760416666666666,0.8098958333333334
inceptiontime,lump_binary,group,val,all,7,3,7,0.7293729372937293,0.6949685534591195,0.7673611111111112,0.7152777777777778,,,,,,,,,,,,,0.7293729372937293,0.6949685534591195,0.7673611111111112,0.7152777777777778
inceptiontime,lump_binary,group,val,all,7,3,8,0.6914893617021277,0.7065217391304348,0.6770833333333334,0.6979166666666666,,,,,,,,,,,,,0.6914893617021277,0.7065217391304348,0.6770833333333334,0.6979166666666666
inceptiontime,lump_binary,group,val,all,7,3,9,0.8116469517743403,0.8527724665391969,0.7743055555555556,0.8203125,,,,,,,,,,,,,0.8116469517743403,0.8527724665391969,0.7743055555555556,0.8203125
inceptiontime,lump_binary,group,val,all,7,3,10,0.7063310450038138,0.6299319727891156,0.8038194444444444,0.6657986111111112,,,,,,,,,,,,,0.7063310450038138,0.6299319727891156,0.8038194444444444,0.6657986111111112
inceptiontime,lump_binary,group,val,all,7,3,11,0.6981285598047193,0.6569678407350689,0.7447916666666666,0.6779513888888888,,,,,,,,,,,,,0.6981285598047193,0.6569678407350689,0.7447916666666666,0.6779513888888888
inceptiontime,lump_binary,group,val,all,7,3,12,0.7039522744220731,0.6169934640522876,0.8194444444444444,0.6553819444444444,,,,,,,,,,,,,0.7039522744220731,0.6169934640522876,0.8194444444444444,0.6553819444444444
inceptiontime,lump_binary,group,val,all,7,3,13,0.6858877086494689,0.6091644204851752,0.7847222222222222,0.640625,,,,,,,,,,,,,0.6858877086494689,0.6091644204851752,0.7847222222222222,0.640625
inceptiontime,lump_binary,group,val,all,7,3,14,0.6984884645982498,0.644640234948605,0.7621527777777778,0.6710069444444444,,,,,,,,,,,,,0.6984884645982498,0.644640234948605,0.7621527777777778,0.6710069444444444
inceptiontime,lump_binary,group,val,all,7,3,15,0.7495881383855024,0.713166144200627,0.7899305555555556,0.7361111111111112,,,,,,,,,,,,,0.7495881383855024,0.713166144200627,0.7899305555555556,0.7361111111111112
inceptiontime,lump_binary,group,val,all,7,4,0,0.7428571428571429,0.610738255033557,0.9479166666666666,0.671875,,,,,,,,,,,,,0.7428571428571429,0.610738255033557,0.9479166666666666,0.671875
inceptiontime,lump_binary,group,val,all,7,4,1,0.7288401253918495,0.6642857142857143,0.8072916666666666,0.6996527777777778,,,,,,,,,,,,,0.7288401253918495,0.6642857142857143,0.8072916666666666,0.6996527777777778
inceptiontime,lump_binary,group,val,all,7,4,2,0.7936024371667936,0.7069199457259159,0.9045138888888888,0.7647569444444444,,,,,,,,,,,,,0.7936024371667936,0.7069199457259159,0.9045138888888888,0.7647569444444444
inceptiontime,lump_binary,group,val,all,7,4,3,0.7092084006462036,0.6631419939577039,0.7621527777777778,0.6875,,,,,,,,,,,,,0.7092084006462036,0.6631419939577039,0.7621527777777778,0.6875
inceptiontime,lump_binary,group,val,all,7,4,4,0.7402700555996823,0.6822840409956076,0.8090277777777778,0.7161458333333334,,,,,,,,,,,,,0.7402700555996823,0.6822840409956076,0.8090277777777778,0.7161458333333334
inceptiontime,lump_binary,group,val,all,7,4,5,0.8376353039134055,0.8048,0.8732638888888888,0.8307291666666666,,,,,,,,,,,,,0.8376353039134055,0.8048,0.8732638888888888,0.8307291666666666
inceptiontime,lump_binary,group,val,all,7,4,6,0.7358636715724245,0.6643356643356644,0.8246527777777778,0.7039930555555556,,,,,,,,,,,,,0.7358636715724245,0.6643356643356644,0.8246527777777778,0.7039930555555556
inceptiontime,lump_binary,group,val,all,7,4,7,0.7072975140336808,0.6572280178837556,0.765625,0.6831597222222222,,,,,,,,,,,,,0.7072975140336808,0.6572280178837556,0.765625,0.6831597222222222
inceptiontime,lump_binary,group,val,all,7,4,8,0.6519685039370079,0.5965417867435159,0.71875,0.6163194444444444,,,,,,,,,,,,,0.6519685039370079,0.5965417867435159,0.71875,0.6163194444444444
inceptiontime,lump_binary,group,val,all,7,4,9,0.7692307692307693,0.6608478802992519,0.9201388888888888,0.7239583333333334,,,,,,,,,,,,,0.7692307692307693,0.6608478802992519,0.9201388888888888,0.7239583333333334
inceptiontime,lump_binary,group,val,all,7,4,10,0.7184300341296929,0.7063758389261745,0.7309027777777778,0.7135416666666666,,,,,,,,,,,,,0.7184300341296929,0.7063758389261745,0.7309027777777778,0.7135416666666666
inceptiontime,lump_binary,group,val,all,7,4,11,0.7490406753645433,0.671251719394773,0.8472222222222222,0.7161458333333334,,,,,,,,,,,,,0.7490406753645433,0.671251719394773,0.8472222222222222,0.7161458333333334
inceptiontime,lump_binary,group,val,all,7,4,12,0.7398119122257053,0.6742857142857143,0.8194444444444444,0.7118055555555556,,,,,,,,,,,,,0.7398119122257053,0.6742857142857143,0.8194444444444444,0.7118055555555556
inceptiontime,lump_binary,group,val,all,7,4,13,0.7496206373292867,0.6657681940700808,0.8576388888888888,0.7135416666666666,,,,,,,,,,,,,0.7496206373292867,0.6657681940700808,0.8576388888888888,0.7135416666666666
inceptiontime,lump_binary,group,val,all,7,4,14,0.7007874015748031,0.6412103746397695,0.7725694444444444,0.6701388888888888,,,,,,,,,,,,,0.7007874015748031,0.6412103746397695,0.7725694444444444,0.6701388888888888
inceptiontime,lump_binary,group,val,all,7,4,15,0.7347585114806018,0.6754002911208151,0.8055555555555556,0.7092013888888888,,,,,,,,,,,,,0.7347585114806018,0.6754002911208151,0.8055555555555556,0.7092013888888888
inceptiontime,lump_binary,group,doctors_test,all,7,0,0,0.124223602484472,0.5882352941176471,0.0694444444444444,0.5104166666666666,,,,,,,,,,,,,0.124223602484472,0.5882352941176471,0.0694444444444444,0.5104166666666666
inceptiontime,lump_binary,group,doctors_test,all,7,1,0,0.655421686746988,0.5018450184501845,0.9444444444444444,0.5034722222222222,,,,,,,,,,,,,0.655421686746988,0.5018450184501845,0.9444444444444444,0.5034722222222222
inceptiontime,lump_binary,group,doctors_test,all,7,2,0,0.6666666666666666,0.5,1.0,0.5,,,,,,,,,,,,,0.6666666666666666,0.5,1.0,0.5
inceptiontime,lump_binary,group,doctors_test,all,7,3,0,0.6666666666666666,0.5,1.0,0.5,,,,,,,,,,,,,0.6666666666666666,0.5,1.0,0.5
inceptiontime,lump_binary,group,doctors_test,all,7,4,0,0.6868686868686869,0.6666666666666666,0.7083333333333334,0.6770833333333334,,,,,,,,,,,,,0.6868686868686869,0.6666666666666666,0.7083333333333334,0.6770833333333334
inceptiontime,lump_binary,group,val,all,6,0,0,0.6892252894033838,0.7074954296160878,0.671875,0.6970486111111112,,,,,,,,,,,,,0.6892252894033838,0.7074954296160878,0.671875,0.6970486111111112
inceptiontime,lump_binary,group,val,all,6,0,1,0.7331010452961673,0.6123399301513388,0.9131944444444444,0.6675347222222222,,,,,,,,,,,,,0.7331010452961673,0.6123399301513388,0.9131944444444444,0.6675347222222222
inceptiontime,lump_binary,group,val,all,6,0,2,0.6825531914893617,0.7072310405643739,0.6595394736842105,0.6952614379084967,,,,,,,,,,,,,0.6825531914893617,0.7072310405643739,0.6595394736842105,0.6952614379084967
inceptiontime,lump_binary,group,val,all,6,0,3,0.75,0.6321428571428571,0.921875,0.6927083333333334,,,,,,,,,,,,,0.75,0.6321428571428571,0.921875,0.6927083333333334
inceptiontime,lump_binary,group,val,all,6,0,4,0.7967836257309941,0.6881313131313131,0.9461805555555556,0.7586805555555556,,,,,,,,,,,,,0.7967836257309941,0.6881313131313131,0.9461805555555556,0.7586805555555556
inceptiontime,lump_binary,group,val,all,6,0,5,0.7117437722419929,0.6675567423230975,0.7621951219512195,0.6913109756097561,,,,,,,,,,,,,0.7117437722419929,0.6675567423230975,0.7621951219512195,0.6913109756097561
inceptiontime,lump_binary,group,val,all,6,0,6,0.7194029850746269,0.6308900523560209,0.8368055555555556,0.6736111111111112,,,,,,,,,,,,,0.7194029850746269,0.6308900523560209,0.8368055555555556,0.6736111111111112
inceptiontime,lump_binary,group,val,all,6,0,7,0.7361477572559367,0.5936170212765958,0.96875,0.6527777777777778,,,,,,,,,,,,,0.7361477572559367,0.5936170212765958,0.96875,0.6527777777777778
inceptiontime,lump_binary,group,val,all,6,0,8,0.7639612807148176,0.6688396349413298,0.890625,0.7248263888888888,,,,,,,,,,,,,0.7639612807148176,0.6688396349413298,0.890625,0.7248263888888888
inceptiontime,lump_binary,group,val,all,6,0,9,0.7512915129151292,0.6534017971758665,0.8836805555555556,0.7074652777777778,,,,,,,,,,,,,0.7512915129151292,0.6534017971758665,0.8836805555555556,0.7074652777777778
inceptiontime,lump_binary,group,val,all,6,0,10,0.6997957794417972,0.6862483311081442,0.7138888888888889,0.6831896551724138,,,,,,,,,,,,,0.6997957794417972,0.6862483311081442,0.7138888888888889,0.6831896551724138
inceptiontime,lump_binary,group,val,all,6,0,11,0.7428150331613854,0.645326504481434,0.875,0.6970486111111112,,,,,,,,,,,,,0.7428150331613854,0.645326504481434,0.875,0.6970486111111112
inceptiontime,lump_binary,group,val,all,6,0,12,0.6923937360178971,0.5795880149812734,0.8597222222222223,0.6137640449438202,,,,,,,,,,,,,0.6923937360178971,0.5795880149812734,0.8597222222222223,0.6137640449438202
inceptiontime,lump_binary,group,val,all,6,0,13,0.6597510373443983,0.6570247933884298,0.6625,0.6583333333333333,,,,,,,,,,,,,0.6597510373443983,0.6570247933884298,0.6625,0.6583333333333333
inceptiontime,lump_binary,group,val,all,6,0,14,0.7145656433703462,0.6744759556103576,0.7597222222222222,0.6965277777777777,,,,,,,,,,,,,0.7145656433703462,0.6744759556103576,0.7597222222222222,0.6965277777777777
inceptiontime,lump_binary,group,val,all,6,0,15,0.6790044671346522,0.628099173553719,0.7388888888888889,0.6506944444444445,,,,,,,,,,,,,0.6790044671346522,0.628099173553719,0.7388888888888889,0.6506944444444445
inceptiontime,lump_binary,group,val,all,6,1,0,0.6831882116543871,0.5561613958560524,0.8854166666666666,0.5894097222222222,,,,,,,,,,,,,0.6831882116543871,0.5561613958560524,0.8854166666666666,0.5894097222222222
inceptiontime,lump_binary,group,val,all,6,1,1,0.6746987951807228,0.5811965811965812,0.8040540540540541,0.6136363636363636,,,,,,,,,,,,,0.6746987951807228,0.5811965811965812,0.8040540540540541,0.6136363636363636
inceptiontime,lump_binary,group,val,all,6,1,2,0.7524271844660194,0.7045454545454546,0.8072916666666666,0.734375,,,,,,,,,,,,,0.7524271844660194,0.7045454545454546,0.8072916666666666,0.734375
inceptiontime,lump_binary,group,val,all,6,1,3,0.6908396946564885,0.5727848101265823,0.8701923076923077,0.6142857142857143,,,,,,,,,,,,,0.6908396946564885,0.5727848101265823,0.8701923076923077,0.6142857142857143
inceptiontime,lump_binary,group,val,all,6,1,4,0.6868421052631579,0.5931818181818181,0.815625,0.6327160493827161,,,,,,,,,,,,,0.6868421052631579,0.5931818181818181,0.815625,0.6327160493827161
